,Pitcher,Primary Pitches,Secondary Pitches,Primary,Secondary,H-Mov,V-Mov,RelHei,RelSide,RelHei Diff,RelSide Diff,H-Mov Diff,V-Mov Diff,MPH Diff,RPM Diff,VAA Diff,HAA Diff,Spin Degree Diff,Usage Rate,Chase Rate,Zone Whiff Rate,Called Strike Rate,wOBAcon
497,Hendriks Liam,"1161    381.0
Name: Pitches, dtype: float64",73.0, FF, CU,"1161   -5.7
Name:  H-Mov, dtype: float64","1161    18.6
Name:  V-Mov, dtype: float64","1161    5.9
Name: V-Rel Pt, dtype: float64","1161   -1.6
Name: H-Rel Pt, dtype: float64",11.600000000000001,4.1,9.0,28.900000000000002,11.799999999999997,220.0,5.6,0.9000000000000001,11.899999999999999,8.9,34.5,46.7,9.6,0.293
498,Hentges Sam,"1173    259.0
Name: Pitches, dtype: float64",147.0, FF, SI,"1173    8.1
Name:  H-Mov, dtype: float64","1173    15.0
Name:  V-Mov, dtype: float64","1173    6.4
Name: V-Rel Pt, dtype: float64","1173    1.8
Name: H-Rel Pt, dtype: float64",1.6999999999999993,6.199999999999999,5.9,4.9,0.19999999999998863,106.0,1.1000000000000005,0.9000000000000001,19.7,13.8,38.6,40.6,12.2,0.281
499,Hentges Sam,"1173    259.0
Name: Pitches, dtype: float64",129.0, FF, SL,"1173    8.1
Name:  H-Mov, dtype: float64","1173    15.0
Name:  V-Mov, dtype: float64","1173    6.4
Name: V-Rel Pt, dtype: float64","1173    1.8
Name: H-Rel Pt, dtype: float64",1.6999999999999993,6.199999999999999,11.6,12.3,7.599999999999994,90.0,2.700000000000001,2.0,2.2,22.5,32.9,56.0,15.5,0.216
500,Hentges Sam,"1173    259.0
Name: Pitches, dtype: float64",112.0, FF, CU,"1173    8.1
Name:  H-Mov, dtype: float64","1173    15.0
Name:  V-Mov, dtype: float64","1173    6.4
Name: V-Rel Pt, dtype: float64","1173    1.8
Name: H-Rel Pt, dtype: float64",1.5,6.3999999999999995,14.2,28.7,14.299999999999997,307.0,4.6,1.2999999999999998,5.2,22.3,21.4,48.2,24.1,0.176
501,Herget Jimmy,"1179    205.0
Name: Pitches, dtype: float64",199.0, SI, SL,"1179   -18.4
Name:  H-Mov, dtype: float64","1179    0.7
Name:  V-Mov, dtype: float64","1179    5.0
Name: V-Rel Pt, dtype: float64","1179   -2.2
Name: H-Rel Pt, dtype: float64",23.4,15.999999999999998,21.7,3.8,7.699999999999989,365.0,0.5999999999999996,2.6999999999999997,30.300000000000004,30.3,25.8,50.0,26.1,0.21
502,Herget Jimmy,"1179    205.0
Name: Pitches, dtype: float64",157.0, SI, CU,"1179   -18.4
Name:  H-Mov, dtype: float64","1179    0.7
Name:  V-Mov, dtype: float64","1179    5.0
Name: V-Rel Pt, dtype: float64","1179   -2.2
Name: H-Rel Pt, dtype: float64",23.299999999999997,15.999999999999998,35.2,3.2,15.799999999999997,484.0,1.5999999999999996,4.4,1.4000000000000021,19.2,31.1,44.8,13.4,0.249
503,Hernandez Elieser,"1185    405.0
Name: Pitches, dtype: float64",350.0, FF, SL,"1185   -6.4
Name:  H-Mov, dtype: float64","1185    17.6
Name:  V-Mov, dtype: float64","1185    5.3
Name: V-Rel Pt, dtype: float64","1185   -2.0
Name: H-Rel Pt, dtype: float64",11.7,4.5,15.0,5.700000000000001,11.599999999999994,29.0,2.5,1.8000000000000003,8.900000000000002,34.6,35.8,38.3,12.9,0.457
504,Hernandez Elieser,"1185    405.0
Name: Pitches, dtype: float64",127.0, FF, CH,"1185   -6.4
Name:  H-Mov, dtype: float64","1185    17.6
Name:  V-Mov, dtype: float64","1185    5.3
Name: V-Rel Pt, dtype: float64","1185   -2.0
Name: H-Rel Pt, dtype: float64",11.8,4.5,9.999999999999998,8.500000000000002,7.200000000000003,168.0,2.5,1.4,7.499999999999999,11.4,19.5,40.0,11.8,0.349
505,Hernandez Elieser,"1185    405.0
Name: Pitches, dtype: float64",77.0, FF, SI,"1185   -6.4
Name:  H-Mov, dtype: float64","1185    17.6
Name:  V-Mov, dtype: float64","1185    5.3
Name: V-Rel Pt, dtype: float64","1185   -2.0
Name: H-Rel Pt, dtype: float64",11.7,4.300000000000001,7.5,4.100000000000001,0.4000000000000057,5.0,0.9000000000000004,0.9999999999999999,15.600000000000001,3.2,7.1,46.9,24.7,0.434
506,Hernández Carlos,"1188    285.0
Name: Pitches, dtype: float64",144.0, FF, KC,"1188   -7.6
Name:  H-Mov, dtype: float64","1188    16.9
Name:  V-Mov, dtype: float64","1188    6.1
Name: V-Rel Pt, dtype: float64","1188   -1.1
Name: H-Rel Pt, dtype: float64",13.8,6.699999999999999,11.0,21.299999999999997,14.599999999999994,95.0,4.499999999999999,1.1,9.0,17.8,32.5,34.3,13.2,0.302
507,Hernández Carlos,"1188    285.0
Name: Pitches, dtype: float64",117.0, FF, SL,"1188   -7.6
Name:  H-Mov, dtype: float64","1188    16.9
Name:  V-Mov, dtype: float64","1188    6.1
Name: V-Rel Pt, dtype: float64","1188   -1.1
Name: H-Rel Pt, dtype: float64",13.6,6.5,10.8,14.999999999999998,10.699999999999989,353.0,3.2,1.4,14.0,16.1,36.7,36.8,10.3,0.506
508,Hernández Carlos,"1188    285.0
Name: Pitches, dtype: float64",68.0, FF, FS,"1188   -7.6
Name:  H-Mov, dtype: float64","1188    16.9
Name:  V-Mov, dtype: float64","1188    6.1
Name: V-Rel Pt, dtype: float64","1188   -1.1
Name: H-Rel Pt, dtype: float64",13.6,6.5,2.0999999999999996,7.599999999999998,11.5,1130.0,2.5999999999999996,0.6,17.3,8.8,17.9,44.8,7.4,0.42
509,Hernández Jonathan,"1194    60.0
Name: Pitches, dtype: float64",51.0, SI, SL,"1194   -19.0
Name:  H-Mov, dtype: float64","1194    7.3
Name:  V-Mov, dtype: float64","1194    5.4
Name: V-Rel Pt, dtype: float64","1194   -1.5
Name: H-Rel Pt, dtype: float64",24.5,17.5,20.2,5.9,9.799999999999997,192.0,2.2,3.1,,38.6,27.3,55.6,13.7,0.147
510,Hicks Jordan,"1198    517.0
Name: Pitches, dtype: float64",233.0, SI, SL,"1198   -15.9
Name:  H-Mov, dtype: float64","1198    8.1
Name:  V-Mov, dtype: float64","1198    6.0
Name: V-Rel Pt, dtype: float64","1198   -2.3
Name: H-Rel Pt, dtype: float64",21.8,13.4,27.6,8.9,14.900000000000006,440.0,2.3999999999999995,3.6999999999999997,3.1999999999999993,28.1,25.7,61.9,18.5,0.341
